label, method, accuracy, time(microseconds)
s<65, pca/dnn_4, 0.47435897435897434, 9566
s<65, pca/dnn_5, 0.47435897435897434, 6440
s<65, pca/rf_50, 1.0, 125671
s<65, pca/rf_100, 1.0, 256701
s<65, pca/rf_150, 1.0, 441686
s<65, pca/rf_200, 1.0, 539806
s<65, pca/rf_250, 1.0, 602690
s<65, pca/rf_300, 1.0, 947855

s<70, none/dnn_1, 0.9294871794871795, 124345
s<70, none/dnn_2, 0.9294871794871795, 112979
s<70, none/dnn_3, 0.9294871794871795, 113894
s<70, none/dnn_4, 0.9294871794871795, 121464
s<70, none/dnn_5, 0.9294871794871795, 115556
s<70, none/rf_50, 1.0, 206007
s<70, none/rf_100, 1.0, 418705
s<70, none/rf_150, 1.0, 632804
s<70, none/rf_200, 1.0, 877790
s<70, none/rf_250, 1.0, 14961
s<70, none/rf_300, 1.0, 231818
s<70, pca/dnn_1, 0.6089743589743589, 6933
s<70, pca/dnn_2, 0.5961538461538461, 6396
s<70, pca/dnn_3, 0.6025641025641025, 9178
s<70, pca/dnn_4, 0.6025641025641025, 12950
s<70, pca/dnn_5, 0.6025641025641025, 10793
s<70, pca/rf_50, 1.0, 131017
s<70, pca/rf_100, 1.0, 262880
s<70, pca/rf_150, 1.0, 445875
s<70, pca/rf_200, 1.0, 545247
s<70, pca/rf_250, 1.0, 601735
s<70, pca/rf_300, 1.0, 797123

i=pt335, none/dnn_1, 0.9935897435897436, 87133
i=pt335, none/dnn_2, 0.9935897435897436, 119288
i=pt335, none/dnn_3, 0.9935897435897436, 119317
i=pt335, none/dnn_4, 0.9935897435897436, 113537
i=pt335, none/dnn_5, 0.9935897435897436, 115459
i=pt335, none/rf_50, 0.9935897435897436, 198768
i=pt335, none/rf_100, 0.9935897435897436, 398379
i=pt335, none/rf_150, 0.9935897435897436, 571768
i=pt335, none/rf_200, 0.9935897435897436, 770631
i=pt335, none/rf_250, 0.9935897435897436, 943476
i=pt335, none/rf_300, 0.9935897435897436, 124585
i=pt335, pca/dnn_1, 0.6538461538461539, 6394
i=pt335, pca/dnn_2, 0.9935897435897436, 6427
i=pt335, pca/dnn_3, 0.9935897435897436, 6423
i=pt335, pca/dnn_4, 0.9935897435897436, 7842
i=pt335, pca/dnn_5, 0.9935897435897436, 6717
i=pt335, pca/rf_50, 0.9935897435897436, 116865
i=pt335, pca/rf_100, 0.9935897435897436, 235621
i=pt335, pca/rf_150, 0.9935897435897436, 463800
i=pt335, pca/rf_200, 0.9935897435897436, 447078
i=pt335, pca/rf_250, 0.9935897435897436, 556297
i=pt335, pca/rf_300, 0.9935897435897436, 702192

o=pt335, none/dnn_1, 0.9935897435897436, 87954
o=pt335, none/dnn_2, 0.9935897435897436, 157867
o=pt335, none/dnn_3, 0.9935897435897436, 118477
o=pt335, none/dnn_4, 0.9935897435897436, 120214
o=pt335, none/dnn_5, 0.9935897435897436, 114441
o=pt335, none/rf_50, 0.9935897435897436, 192044
o=pt335, none/rf_100, 0.9935897435897436, 395462
o=pt335, none/rf_150, 0.9935897435897436, 565135
o=pt335, none/rf_200, 0.9935897435897436, 742997
o=pt335, none/rf_250, 0.9935897435897436, 970388
o=pt335, none/rf_300, 0.9935897435897436, 105423
o=pt335, pca/dnn_1, 0.6538461538461539, 5839
o=pt335, pca/dnn_2, 0.9935897435897436, 6462
o=pt335, pca/dnn_3, 0.9935897435897436, 6520
o=pt335, pca/dnn_4, 0.9935897435897436, 7344
o=pt335, pca/dnn_5, 0.9935897435897436, 7774
o=pt335, pca/rf_50, 0.9935897435897436, 121019
o=pt335, pca/rf_100, 0.9935897435897436, 237298
o=pt335, pca/rf_150, 0.9935897435897436, 346614
o=pt335, pca/rf_200, 0.9935897435897436, 436186
o=pt335, pca/rf_250, 0.9935897435897436, 563857
o=pt335, pca/rf_300, 0.9935897435897436, 749779

i=pt211, none/dnn_1, 0.9935897435897436, 92407
i=pt211, none/dnn_2, 0.9935897435897436, 89521
i=pt211, none/dnn_3, 0.9935897435897436, 88164
i=pt211, none/dnn_4, 0.9935897435897436, 90407
i=pt211, none/dnn_5, 0.9935897435897436, 88150
i=pt211, none/rf_50, 0.9935897435897436, 36815
i=pt211, none/rf_100, 0.9935897435897436, 57919
i=pt211, none/rf_150, 0.9935897435897436, 80651
i=pt211, none/rf_200, 0.9935897435897436, 110712
i=pt211, none/rf_250, 0.9935897435897436, 133523
i=pt211, none/rf_300, 0.9935897435897436, 150926
i=pt211, pca/dnn_1, 0.9935897435897436, 7110
i=pt211, pca/dnn_2, 0.9935897435897436, 6519
i=pt211, pca/dnn_3, 0.9935897435897436, 6097
i=pt211, pca/dnn_4, 0.9935897435897436, 8142
i=pt211, pca/dnn_5, 0.9935897435897436, 7106
i=pt211, pca/rf_50, 0.9935897435897436, 27900
i=pt211, pca/rf_100, 0.9935897435897436, 53431
i=pt211, pca/rf_150, 0.9935897435897436, 77177
i=pt211, pca/rf_200, 0.9935897435897436, 96540
i=pt211, pca/rf_250, 0.9935897435897436, 141176
i=pt211, pca/rf_300, 0.9935897435897436, 245961

o=pt211, none/dnn_1, 0.9935897435897436, 86193
o=pt211, none/dnn_2, 0.9935897435897436, 89314
o=pt211, none/dnn_3, 0.9935897435897436, 86906
o=pt211, none/dnn_4, 0.9935897435897436, 94192
o=pt211, none/dnn_5, 0.9935897435897436, 87127
o=pt211, none/rf_50, 0.9935897435897436, 34873
o=pt211, none/rf_100, 0.9935897435897436, 60791
o=pt211, none/rf_150, 0.9935897435897436, 90691
o=pt211, none/rf_200, 0.9935897435897436, 110289
o=pt211, none/rf_250, 0.9935897435897436, 133556
o=pt211, none/rf_300, 0.9935897435897436, 152060
o=pt211, pca/dnn_1, 0.9935897435897436, 6124
o=pt211, pca/dnn_2, 0.9935897435897436, 8120
o=pt211, pca/dnn_3, 0.9935897435897436, 6133
o=pt211, pca/dnn_4, 0.9935897435897436, 8902
o=pt211, pca/dnn_5, 0.9935897435897436, 7148
o=pt211, pca/rf_50, 0.9935897435897436, 27806
o=pt211, pca/rf_100, 0.9935897435897436, 51750
o=pt211, pca/rf_150, 0.9935897435897436, 75626
o=pt211, pca/rf_200, 0.9935897435897436, 97377
o=pt211, pca/rf_250, 0.9935897435897436, 126288
o=pt211, pca/rf_300, 0.9935897435897436, 202541

i=pt342, none/dnn_1, 0.9935897435897436, 87997
i=pt342, none/dnn_2, 0.9935897435897436, 148702
i=pt342, none/dnn_3, 0.9935897435897436, 150179
i=pt342, none/dnn_4, 0.9935897435897436, 179903
i=pt342, none/dnn_5, 0.9935897435897436, 145645
i=pt342, none/rf_50, 0.9935897435897436, 98508
i=pt342, none/rf_100, 0.9935897435897436, 208745
i=pt342, none/rf_150, 0.9935897435897436, 290680
i=pt342, none/rf_200, 0.9935897435897436, 376697
i=pt342, none/rf_250, 0.9935897435897436, 480153
i=pt342, none/rf_300, 0.9935897435897436, 534240
